x,y,day,date
512677.661371087,1331924.851775630,1,2011-06-22
511617.323471676,1340501.709463710,1,2011-06-22
511617.323471676,1340501.709463710,1,2011-06-22
510945.468294496,1340593.530404390,1,2011-06-22
510945.468294496,1340593.530404390,1,2011-06-22
510078.100581832,1338336.729007320,1,2011-06-22
510078.100581832,1338336.729007320,1,2011-06-22
511784.379156950,1338427.179367150,1,2011-06-22
511784.379156950,1338427.179367150,1,2011-06-22
512874.596879028,1337817.888132890,2,2011-06-23
511575.605132246,1342231.491196680,2,2011-06-23
511166.323698836,1337742.192390820,2,2011-06-23
509536.748113223,1343175.560649530,2,2011-06-23
512038.584987790,1342367.084205480,2,2011-06-23
511000.843939438,1342276.341804650,3,2011-06-24
511792.865441962,1338429.282800010,3,2011-06-24
512453.314705133,1341262.189252820,3,2011-06-24
511388.377806045,1332631.182802020,3,2011-06-24
513404.987159559,1334448.498792240,3,2011-06-24
510808.985702089,1335199.003505730,3,2011-06-24
514566.419402071,1334482.863623820,3,2011-06-24
514566.416513067,1334490.493572310,3,2011-06-24
511094.674274730,1340014.576064980,4,2011-06-25
511089.833561818,1340631.717892480,4,2011-06-25
510078.446905600,1332043.019602590,4,2011-06-25
519713.422874879,1333901.952562680,4,2011-06-25
511090.812774075,1340631.607570740,4,2011-06-25
517765.768027928,1338695.325961900,4,2011-06-25
515419.996511509,1339314.624662540,4,2011-06-25
510852.669009662,1338436.437330880,4,2011-06-25
510688.168187223,1337068.311145000,4,2011-06-25
511823.296434631,1339685.692747510,5,2011-06-26
511013.255060838,1342242.507729090,5,2011-06-26
511190.115822612,1342375.139139800,5,2011-06-26
511003.019925075,1342275.789474050,5,2011-06-26
515892.863692278,1335959.515538470,5,2011-06-26
509165.218664263,1337210.839413030,5,2011-06-26
513214.121824034,1335734.910463240,5,2011-06-26
514440.637214873,1342555.655555630,5,2011-06-26
511267.027520065,1339560.030528640,5,2011-06-26
499246.049083819,1338050.716478930,6,2011-06-27
514395.025797974,1335652.061733090,6,2011-06-27
510074.804348632,1339429.471710330,6,2011-06-27
510435.505395647,1340699.006389870,6,2011-06-27
516276.871015980,1340691.037872350,6,2011-06-27
513494.445716029,1338548.138534190,6,2011-06-27
512281.086515612,1336966.243355490,7,2011-06-28
511370.098501267,1342622.996292000,7,2011-06-28
519430.956855486,1332423.798244210,7,2011-06-28
519431.501057649,1332423.687959750,7,2011-06-28
509563.142247664,1338227.805961520,7,2011-06-28
514254.689720258,1336436.789430380,7,2011-06-28
515851.900655156,1340446.363507300,7,2011-06-28
513865.970380038,1340207.179351010,8,2011-06-29
512760.108428490,1341295.348957250,8,2011-06-29
511161.750332813,1340217.285628540,8,2011-06-29
510175.205457809,1340000.304873740,8,2011-06-29
515516.216084604,1335521.133360860,8,2011-06-29
512676.151149271,1333265.729682060,8,2011-06-29
516232.956973187,1340100.192592910,8,2011-06-29
513583.481997882,1336253.651724050,8,2011-06-29
513074.081746985,1335715.733916900,8,2011-06-29
513906.747804319,1334788.482588610,8,2011-06-29
515433.178524339,1335546.090230630,8,2011-06-29
511984.511002831,1336812.560808400,8,2011-06-29
514891.380051580,1342501.976553400,9,2011-06-30
515566.270466682,1342101.066086650,9,2011-06-30
510914.199891440,1336948.058220980,9,2011-06-30
507981.631780433,1341683.114976330,9,2011-06-30
512267.510565459,1343351.863323900,9,2011-06-30
501539.447523259,1339096.017140060,9,2011-06-30
513142.296531152,1336412.072700790,9,2011-06-30
517565.063549868,1334529.929869010,9,2011-06-30
513279.500186780,1332549.485517530,9,2011-06-30
513233.428138951,1334294.293996440,9,2011-06-30
512801.769454483,1336565.666754870,9,2011-06-30
510904.841332942,1340769.562232210,10,2011-07-01
506245.220767404,1343332.625095030,10,2011-07-01
518486.071996700,1334628.358799010,10,2011-07-01
510552.218647696,1335020.465407170,10,2011-07-01
512468.696554208,1334435.589565140,10,2011-07-01
514410.963561709,1341036.945524320,11,2011-07-02
511183.025597373,1340403.175095730,11,2011-07-02
513170.704158372,1341619.812527590,11,2011-07-02
511277.403799886,1340219.417553470,11,2011-07-02
510910.063647092,1340769.452994520,11,2011-07-02
510957.037886934,1338344.462223620,11,2011-07-02
510206.177214181,1342021.812917360,11,2011-07-02
508964.139672872,1337194.655834820,11,2011-07-02
514757.551797812,1341978.661996530,11,2011-07-02
510553.525604620,1335015.821411600,11,2011-07-02
510566.695856201,1335002.776314910,11,2011-07-02
510589.651057882,1335025.450609000,11,2011-07-02
510589.651057882,1335025.450609000,11,2011-07-02
510589.651057882,1335025.450609000,11,2011-07-02
510589.651057882,1335025.450609000,11,2011-07-02
509748.927177698,1335986.519081410,11,2011-07-02
513734.791553279,1330809.684802660,11,2011-07-02
512854.333900493,1332135.449813950,11,2011-07-02
508016.686087175,1337439.091039160,12,2011-07-03
517492.136939197,1338437.322650640,12,2011-07-03
514688.027603110,1332061.121513410,12,2011-07-03
517489.634022331,1338438.095508900,12,2011-07-03
517490.504631994,1338437.764187240,12,2011-07-03
514211.862256097,1332753.277400390,12,2011-07-03
517489.852322704,1338436.658081510,12,2011-07-03
509488.658611792,1338513.969125700,12,2011-07-03
511153.294051422,1339693.248178740,13,2011-07-04
511153.294051422,1339693.248178740,13,2011-07-04
511969.182780862,1335271.416567650,13,2011-07-04
511969.182780862,1335271.416567650,13,2011-07-04
510920.397485906,1340776.975046770,13,2011-07-04
511309.003385517,1340445.450190380,13,2011-07-04
510920.397485906,1340776.975046770,13,2011-07-04
511309.003385517,1340445.450190380,13,2011-07-04
511303.997743404,1340448.766216830,13,2011-07-04
511155.190890290,1340335.935480610,13,2011-07-04
511303.997743404,1340448.766216830,13,2011-07-04
511155.190890290,1340335.935480610,13,2011-07-04
517504.486246924,1339232.836760490,13,2011-07-04
514399.113848213,1335486.415839350,13,2011-07-04
517504.486246924,1339232.836760490,13,2011-07-04
514399.113848213,1335486.415839350,13,2011-07-04
511774.820769085,1334554.587908220,13,2011-07-04
511774.820769085,1334554.587908220,13,2011-07-04
510628.490145799,1337268.886786040,13,2011-07-04
510628.490145799,1337268.886786040,13,2011-07-04
508919.023730996,1337555.577284780,13,2011-07-04
508919.023730996,1337555.577284780,13,2011-07-04
515310.263387234,1335157.907799720,13,2011-07-04
515310.263387234,1335157.907799720,13,2011-07-04
511184.221296998,1340407.266848560,13,2011-07-04
516927.668512362,1333887.277443950,13,2011-07-04
516927.668512362,1333887.277443950,13,2011-07-04
511184.221296998,1340407.266848560,13,2011-07-04
512039.865515079,1334696.979649260,13,2011-07-04
512039.865515079,1334696.979649260,13,2011-07-04
511150.574217032,1339692.473403310,13,2011-07-04
511150.574217032,1339692.473403310,13,2011-07-04
512497.176408269,1336647.067669260,14,2011-07-05
513942.790811366,1335634.424903390,14,2011-07-05
516353.792111466,1337723.784559860,14,2011-07-05
513838.102710503,1335038.919598700,14,2011-07-05
516855.645624758,1339570.353094800,14,2011-07-05
515508.290035225,1341295.027903300,14,2011-07-05
516852.705993564,1339574.664348110,14,2011-07-05
511965.566651971,1331618.112111270,14,2011-07-05
509995.154557329,1342824.902834820,14,2011-07-05
517819.025743322,1338811.681521130,14,2011-07-05
510107.653163637,1338997.225126420,14,2011-07-05
510000.885063893,1342500.906340930,14,2011-07-05
515802.034505149,1341047.563007630,15,2011-07-06
513604.219158133,1336701.061917740,15,2011-07-06
511027.002382066,1334571.745186380,15,2011-07-06
511025.044793046,1334567.210943590,15,2011-07-06
511017.248928610,1340694.176209060,15,2011-07-06
510424.753599033,1341523.372837200,15,2011-07-06
511324.887742053,1340044.825669300,15,2011-07-06
518856.640075807,1333312.769461510,16,2011-07-07
510418.659172912,1341531.333085800,16,2011-07-07
512491.222167492,1334436.591724670,16,2011-07-07
512357.619627340,1340402.847514520,16,2011-07-07
512473.581409154,1339758.095181450,16,2011-07-07
509597.780444420,1337537.910295500,16,2011-07-07
518219.590025601,1337624.589480210,16,2011-07-07
512491.222167492,1334436.591724670,16,2011-07-07
510911.522130850,1340174.426093150,16,2011-07-07
510911.521846741,1340175.531885980,16,2011-07-07
511783.182193474,1338427.510762390,16,2011-07-07
512716.671231473,1331081.259088250,17,2011-07-08
517928.738478984,1335644.080777250,17,2011-07-08
509874.196866143,1336372.356593260,17,2011-07-08
509881.696611497,1336410.286849550,17,2011-07-08
502226.022293153,1339744.309905100,17,2011-07-08
511482.813825911,1340626.737219470,17,2011-07-08
511018.336561743,1340695.503444480,17,2011-07-08
510492.842552216,1342486.646578610,17,2011-07-08
510354.413091396,1339944.393891870,17,2011-07-08
510749.493079413,1339845.632722270,17,2011-07-08
508045.609870497,1337561.838390650,18,2011-07-09
510538.227312416,1335724.407508770,18,2011-07-09
511170.702333218,1339693.142217630,18,2011-07-09
511121.148311594,1339467.658003720,18,2011-07-09
511123.324359694,1339467.658577980,18,2011-07-09
508049.092565586,1337556.862890330,18,2011-07-09
517443.376319123,1334812.843686700,18,2011-07-09
511582.265753856,1341756.112062160,18,2011-07-09
513867.855277873,1336442.620587790,18,2011-07-09
511146.009525731,1340084.586302910,18,2011-07-09
510506.198819299,1335426.278876920,18,2011-07-09
513185.830350044,1334423.213177370,18,2011-07-09
514302.613483689,1334548.780553030,18,2011-07-09
512807.174242511,1334636.175386120,19,2011-07-10
510236.228622717,1340524.243737110,19,2011-07-10
512398.239758689,1335309.583912470,19,2011-07-10
509421.780526677,1336749.223746720,19,2011-07-10
511588.817422458,1340115.779661800,19,2011-07-10
510672.136865619,1339402.964656830,19,2011-07-10
511170.614549810,1341251.757674120,19,2011-07-10
511612.518130044,1341728.918008340,19,2011-07-10
512959.832997079,1336025.096700080,20,2011-07-11
509832.938087002,1335465.821162850,20,2011-07-11
510481.812653120,1341763.343899050,20,2011-07-11
511029.037404078,1340130.445961240,20,2011-07-11
510968.339414477,1340082.549357110,20,2011-07-11
510754.803185809,1338198.667396590,20,2011-07-11
511379.511004867,1340822.323709500,20,2011-07-11
516522.049310385,1340808.802913460,20,2011-07-11
510415.937357575,1336552.393453780,20,2011-07-11
512479.776588012,1331674.439954750,20,2011-07-11
516857.400816204,1335011.281484590,20,2011-07-11
516630.172118258,1337712.185995360,20,2011-07-11
509521.098587114,1336881.054574750,20,2011-07-11
513934.907381229,1331504.963871000,20,2011-07-11
508045.827100250,1337564.271164510,20,2011-07-11
518870.423801324,1332759.107409450,21,2011-07-12
508870.174316498,1332293.672366910,21,2011-07-12
511943.003655871,1334738.750183560,21,2011-07-12
510254.737669720,1341393.954532980,21,2011-07-12
510262.461928774,1341394.840983930,21,2011-07-12
511249.726086494,1339972.707712450,21,2011-07-12
517985.653991804,1337176.184272910,21,2011-07-12
508045.501379351,1337559.847950390,21,2011-07-12
508045.501379351,1337559.847950390,21,2011-07-12
511328.182196218,1341136.576282810,21,2011-07-12
514320.109707792,1332260.688555820,22,2011-07-13
508045.066283355,1337558.963248430,22,2011-07-13
514119.267334809,1330907.130990360,22,2011-07-13
508045.066283355,1337558.963248430,22,2011-07-13
509980.258328685,1337481.819730870,22,2011-07-13
509489.607127908,1339182.530964570,22,2011-07-13
513445.137421203,1338604.406461480,22,2011-07-13
509868.973562643,1336373.461227930,22,2011-07-13
511806.640550309,1339717.866531550,22,2011-07-13
514114.195687781,1331087.261878080,22,2011-07-13
510055.343636493,1339841.264335430,22,2011-07-13
510679.376872983,1334786.732877410,22,2011-07-13
509952.548785824,1338773.045929140,22,2011-07-13
508373.380898259,1341158.480608430,22,2011-07-13
510055.343636493,1339841.264335430,22,2011-07-13
506611.592287205,1346481.306410850,22,2011-07-13
510055.343636493,1339841.264335430,22,2011-07-13
512400.538716788,1340232.679071670,22,2011-07-13
510055.343636493,1339841.264335430,22,2011-07-13
514420.197956621,1334101.532361200,23,2011-07-14
510191.695121918,1342075.993451270,23,2011-07-14
508048.874168496,1337561.728333640,23,2011-07-14
506825.725715118,1342324.093787590,23,2011-07-14
513094.215732309,1335706.673063810,23,2011-07-14
518236.388486864,1335593.699063360,23,2011-07-14
508164.327720647,1340835.775119630,23,2011-07-14
508048.874168496,1337561.728333640,23,2011-07-14
514302.078966753,1336581.223267420,24,2011-07-15
508042.019727427,1337558.299287290,24,2011-07-15
516567.304868969,1336927.155707740,24,2011-07-15
508064.108665716,1337554.321978290,24,2011-07-15
511846.776185881,1339759.898205910,24,2011-07-15
508064.108665716,1337554.321978290,24,2011-07-15
508292.104377350,1341192.856957730,24,2011-07-15
511844.275125812,1339755.142575580,24,2011-07-15
508292.104377350,1341192.856957730,24,2011-07-15
511844.275125812,1339755.142575580,24,2011-07-15
512041.677885399,1340367.035462130,24,2011-07-15
512041.677885399,1340367.035462130,24,2011-07-15
508505.528032059,1337669.951222850,24,2011-07-15
508505.528032059,1337669.951222850,24,2011-07-15
509877.893521762,1336385.958627920,24,2011-07-15
509870.824227439,1336369.701951320,24,2011-07-15
509954.356400410,1336533.930360780,24,2011-07-15
501432.037095700,1340486.004064280,24,2011-07-15
508055.724444747,1337591.143458280,24,2011-07-15
508056.377512787,1337589.816614280,24,2011-07-15
508054.745427307,1337589.484615650,24,2011-07-15
511844.275125812,1339755.142575580,25,2011-07-16
511844.275125812,1339755.142575580,25,2011-07-16
512884.288269320,1341495.758827290,25,2011-07-16
511844.275125812,1339755.142575580,25,2011-07-16
511844.275125812,1339755.142575580,25,2011-07-16
510429.448226768,1337836.772537250,25,2011-07-16
511844.275125812,1339755.142575580,25,2011-07-16
511844.275125812,1339755.142575580,25,2011-07-16
511844.275125812,1339755.142575580,25,2011-07-16
511544.491808881,1338709.199238170,26,2011-07-17
509290.198663378,1339581.349184260,26,2011-07-17
511844.275125812,1339755.142575580,26,2011-07-17
516697.172238215,1334874.311970830,26,2011-07-17
512538.010301054,1334452.197840910,26,2011-07-17
512566.960012483,1334441.370108810,26,2011-07-17
514188.373010255,1334193.780068240,26,2011-07-17
516753.588171034,1338613.352568190,26,2011-07-17
510008.287257687,1342481.556617320,26,2011-07-17
511336.018229921,1341126.626265720,26,2011-07-17
510451.567236654,1335448.492053410,26,2011-07-17
514156.881248298,1341744.449246080,26,2011-07-17
510142.916203786,1337064.310228430,26,2011-07-17
